ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Full Name,Publisher,Alignment,Gender,Race,Height,Weight,Eye_Color,Hair_Color,Work,Image
136,Brainiac,100,95,63,90,60,75,Vril Dox,DC Comics,bad,Male,Android,198 cm,135 kg,Green,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/648.jpg
137,Brainiac 5,100,10,23,28,60,32,Querl Dox,DC Comics,good,Male,null,170 cm,61 kg,Green,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/1183.jpg
138,Brother Voodoo,null,65,null,null,null,null,Jericho Drumm,Marvel Comics,good,Male,Human,183 cm,99 kg,Brown,Brown / White,Psychologist Houngan (voodoo priest),https://www.superherodb.com/pictures2/portraits/10/100/39.jpg
139,Brundlefly,69,32,25,40,27,15,Seth Brundle,,-,Male,Mutant,193 cm,0 kg,-,-,Scientist,https://www.superherodb.com/pictures2/portraits/10/100/10642.jpg
140,Buffy,63,28,42,70,48,60,Buffy Anne Summers,Dark Horse Comics,good,Female,Human,157 cm,52 kg,Green,Blond,Slayer ; (formerly) Waitress ; DoubleMeat Palace employee ; Sunnydale High Counselor,https://www.superherodb.com/pictures2/portraits/10/100/10430.jpg
141,Bullseye,50,11,25,70,20,70,Lester,Marvel Comics,bad,Male,Human,183 cm,90 kg,blue,blond,"Assassin, professional criminal, former mercenary",https://www.superherodb.com/pictures2/portraits/10/100/624.jpg
142,Bumblebee,63,28,25,10,47,35,Karen Beecher,DC Comics,good,Female,Human,170 cm,59 kg,Brown,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/1542.jpg
143,Bumbleboy,null,null,null,null,null,null,,Marvel Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1346.jpg
144,Bushido,38,10,8,10,19,70,Ryuko Orsono,DC Comics,good,Male,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1541.jpg
145,Cable,88,48,23,56,100,80,Nathan Summers,Marvel Comics,good,Male,Mutant,203 cm,158 kg,Blue,White,"(current) Adventurer, (former) freedom fighter, United States government agent, mercenary, combat instructor for X-Force",https://www.superherodb.com/pictures2/portraits/10/100/40.jpg
146,Callisto,63,53,23,42,52,85,Callisto,Marvel Comics,bad,Female,null,175 cm,74 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/271.jpg
147,Cameron Hicks,50,10,23,28,51,70,,SyFy,good,Male,Alpha,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1528.jpg
148,Cannonball,50,28,67,99,94,56,Samuel Zachery Guthrie,Marvel Comics,good,Male,null,183 cm,81 kg,Blue,Blond,"Adventurer, peacekeeper, former student, mercenary, miner",https://www.superherodb.com/pictures2/portraits/10/100/272.jpg
149,Captain America,69,19,38,55,60,100,Steve Rogers,Marvel Comics,good,Male,Human,188 cm,108 kg,blue,blond,"Adventurer, federal official, intelligence operative; former soldier, Hydra agent, liaison between S.H.I.E.L.D. and the Avengers, police officer, teacher, sparring partner.",https://www.superherodb.com/pictures2/portraits/10/100/274.jpg
150,Captain Atom,81,93,83,90,100,80,Nathaniel Adam,DC Comics,good,Male,Human / Radiation,193 cm,90 kg,Blue,Silver,Former Soldier,https://www.superherodb.com/pictures2/portraits/10/100/1007.jpg
151,Captain Britain,75,77,50,60,31,80,Brian Braddock,Marvel Comics,good,Male,Human,198 cm,116 kg,Blue,Blond,"Adventurer, formerly King of Otherworld, scientist",https://www.superherodb.com/pictures2/portraits/10/100/276.jpg
152,Captain Cold,50,10,17,20,28,20,Leonard Snart,DC Comics,neutral,Male,Human,0 cm,0 kg,Brown,Brown,Professional Criminal,https://www.superherodb.com/pictures2/portraits/10/100/653.jpg
153,Captain Epic,null,null,null,null,null,null,,Team Epic TV,good,Male,null,188 cm,0 kg,Blue,Brown,Superhero,https://www.superherodb.com/pictures2/portraits/10/100/3.jpg
154,Captain Hindsight,25,10,83,30,10,20,Jack Brolin,South Park,good,Male,Human,0 cm,0 kg,-,Black,Former Superhero; News Reporter,https://www.superherodb.com/pictures2/portraits/10/100/10399.jpg
155,Captain Mar-vell,null,80,null,null,null,null,Mar-Vell,Marvel Comics,good,Male,null,188 cm,108 kg,Blue,Blond,"Captain in the Kree space fleet, later adventurer, later ""Protector of the Universe""",https://www.superherodb.com/pictures2/portraits/10/100/654.jpg
156,Captain Marvel,88,100,88,95,100,75,Billy Batson,DC Comics,good,Male,Human,193 cm,101 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/278.jpg
157,Captain Marvel,84,88,71,95,100,90,Carol Danvers,Binary,good,Female,Human-Kree,180 cm,74 kg,Blue,Blond,"Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.",https://www.superherodb.com/pictures2/portraits/10/100/103.jpg
158,Captain Marvel II,75,81,27,90,34,56,Frederick Christopher Freeman,DC Comics,good,Male,Human,175 cm,74 kg,Blue,Black,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/279.jpg
159,Captain Midnight,null,null,null,null,null,null,,Dark Horse Comics,good,Male,Human,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10443.jpg
160,Captain Planet,50,88,75,80,100,60,,Marvel Comics,good,Male,God / Eternal,0 cm,0 kg,Red,Green,-,https://www.superherodb.com/pictures2/portraits/10/100/1285.jpg
161,Captain Universe,null,92,null,null,null,null,,Marvel Comics,good,-,God / Eternal,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/855.jpg
162,Carnage,63,63,70,84,88,90,Cletus Kasady,Marvel Comics,bad,Male,Symbiote,185 cm,86 kg,Green,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/187.jpg
163,Cat,null,90,null,null,null,null,Shirlee Bryant,Marvel Comics,good,Female,null,173 cm,61 kg,Blue,Blond,Model,https://www.superherodb.com/pictures2/portraits/10/100/904.jpg
164,Cat II,null,null,null,null,null,null,,Marvel Comics,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/903.jpg
165,Catwoman,69,11,33,28,27,85,Selina Kyle,DC Comics,good,Female,Human,175 cm,61 kg,Green,Black,Thief,https://www.superherodb.com/pictures2/portraits/10/100/659.jpg
166,Cecilia Reyes,null,null,null,null,null,null,Dr. Cecilia Reyes,Marvel Comics,good,-,null,170 cm,62 kg,Brown,Brown,Doctor in private practice,https://www.superherodb.com/pictures2/portraits/10/100/43.jpg
167,Century,88,80,53,64,100,100,,Marvel Comics,good,Male,Alien,201 cm,97 kg,White,White,"Tracker, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/1511.jpg
168,Cerebra,null,57,null,null,null,null,Shakti Haddad,Marvel Comics,good,Female,Mutant,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1512.jpg
169,Chamber,50,10,20,80,57,64,Jonothon Evan Starsmore,Marvel Comics,good,Male,Mutant,175 cm,63 kg,Brown,Brown,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/44.jpg
170,Chameleon,88,10,12,28,28,28,Dmitri Anatoly Smerdyakov Kravinoff,DC Comics,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/660.jpg
171,Changeling,63,10,23,42,64,64,Kevin Sidney,Marvel Comics,bad,Male,null,180 cm,81 kg,Brown,Black,"Former substitute teacher, adventurer, subversive",https://www.superherodb.com/pictures2/portraits/10/100/1107.jpg
172,Cheetah,38,8,42,20,32,70,Priscilla Rich,DC Comics,bad,Female,Human,163 cm,50 kg,Green,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/661.jpg
173,Cheetah II,38,20,42,20,39,60,Deborah Domaine,DC Comics,bad,Female,Human,170 cm,55 kg,Green,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/925.jpg
174,Cheetah III,88,100,88,80,78,95,Barbara Minerva,DC Comics,bad,Female,Human,175 cm,54 kg,Brown,Brown,"Archaeologist, Anthropologist",https://www.superherodb.com/pictures2/portraits/10/100/926.jpg
175,Chromos,null,null,null,null,null,null,Bernard Embers,Team Epic TV,bad,Male,null,185 cm,86 kg,Brown,Red / Grey,"Bar owner and Entertainer, President of V.E., Lieutenant in the G.V.W.",https://www.superherodb.com/pictures2/portraits/10/100/1001.jpg
176,Chuck Norris,50,80,47,56,42,99,Carlos Ray Norris,null,good,Male,null,178 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/954.jpg
177,Citizen Steel,50,95,33,100,23,60,Nathan Heywood,DC Comics,good,Male,Human,183 cm,170 kg,Green,Red,"Adventurer, former Professional Football Player",https://www.superherodb.com/pictures2/portraits/10/100/10661.jpg
178,Claire Bennet,38,9,12,100,90,28,Claire Bennet,NBC - Heroes,good,Female,null,0 cm,0 kg,Blue,Blond,"High school student, cheerleader",https://www.superherodb.com/pictures2/portraits/10/100/941.jpg
179,Clea,null,39,null,null,null,null,Clea,Marvel Comics,good,-,null,0 cm,0 kg,-,White,Former ruler and Sorceress Supreme of the Dark Dimension; former apprentice of Doctor Strange,https://www.superherodb.com/pictures2/portraits/10/100/45.jpg
180,Cloak,63,10,47,64,100,56,Tyrone Johnson,Marvel Comics,good,Male,null,226 cm,70 kg,brown,black,Vigilante,https://www.superherodb.com/pictures2/portraits/10/100/46.jpg
181,Clock King,75,10,17,10,7,40,William Tockman,DC Comics,bad,Male,Human,178 cm,78 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/10396.jpg
182,Cogliostro,null,null,null,null,null,null,Cain,Image Comics,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1074.jpg
183,Colin Wagner,null,null,null,null,null,null,,HarperCollins,good,Male,null,0 cm,0 kg,Grey,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/1153.jpg
184,Colossal Boy,null,null,null,null,null,null,,DC Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1182.jpg
185,Colossus,63,83,33,100,45,80,Piotr Nikolaievitch Rasputin,Marvel Comics,good,Male,Mutant,226 cm,225 kg,Silver,Black,"(current) Adventurer, student, (former) Artist",https://www.superherodb.com/pictures2/portraits/10/100/48.jpg
186,Copycat,56,10,21,25,54,60,Vanessa Carlysle,Marvel Comics,neutral,Female,Mutant,183 cm,67 kg,Red,White,-,https://www.superherodb.com/pictures2/portraits/10/100/10423.jpg
187,Corsair,null,16,null,null,null,null,Christopher Summers,Marvel Comics,good,Male,null,191 cm,79 kg,Brown,Brown,"Pirate, former pilot",https://www.superherodb.com/pictures2/portraits/10/100/49.jpg
188,Cottonmouth,50,10,8,10,27,25,Burchell Clemens,Marvel Comics,bad,Male,Human,183 cm,99 kg,Brown,Black,Professional criminal,https://www.superherodb.com/pictures2/portraits/10/100/10452.jpg
189,Crimson Crusader,null,58,null,null,null,null,Rory Destine,Marvel Comics,good,Male,null,0 cm,0 kg,Blue,Strawberry Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/303.jpg
190,Crimson Dynamo,null,65,null,null,null,null,Anton Vanko,Marvel Comics,good,Male,null,180 cm,104 kg,Brown,No Hair,Scientist,https://www.superherodb.com/pictures2/portraits/10/100/1093.jpg
191,Crystal,63,16,12,14,61,56,Crystallia Amaquelin,Marvel Comics,good,Female,Inhuman,168 cm,50 kg,Green,Red,"Mother, adventuress",https://www.superherodb.com/pictures2/portraits/10/100/305.jpg
192,Curse,null,null,null,null,null,null,Phillip Krahn,Image Comics,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1066.jpg
193,Cy-Gor,null,96,null,null,null,null,,Image Comics,bad,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1075.jpg
194,Cyborg,75,53,42,85,71,64,Victor Stone,DC Comics,good,Male,Cyborg,198 cm,173 kg,Brown,Black,"Adventurer, Teen Titan",https://www.superherodb.com/pictures2/portraits/10/100/1204.jpg
195,Cyborg Superman,75,93,92,100,100,80,Henry Henshaw,DC Comics,bad,Male,Cyborg,0 cm,0 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/667.jpg
196,Cyclops,75,10,23,42,76,80,Scott Summers,Marvel Comics,good,Male,Mutant,191 cm,88 kg,Brown,Brown,"Leader of mutant race, adventurer, headmaster, former student, radio announcer",https://www.superherodb.com/pictures2/portraits/10/100/50.jpg
197,Cypher,null,44,null,null,null,null,Douglas Aaron Ramsey,Marvel Comics,good,-,null,175 cm,68 kg,Blue,Blond,"Student, Adventurer",https://www.superherodb.com/pictures2/portraits/10/100/168.jpg
199,Danny Cooper,null,null,null,null,null,null,,HarperCollins,good,Male,null,0 cm,0 kg,Brown,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/1152.jpg
200,Daphne Powell,38,10,8,10,56,10,Daphne Powell,ABC Studios,good,Female,null,0 cm,0 kg,-,-,Student,https://www.superherodb.com/pictures2/portraits/10/100/1356.jpg
201,Daredevil,75,13,25,35,61,100,Matt Murdock,Marvel Comics,good,Male,Human,183 cm,90 kg,Blue,Red,"Adventurer, vigilante, Attorney at Law",https://www.superherodb.com/pictures2/portraits/10/100/52.jpg
202,Darkhawk,50,32,33,70,74,64,Christopher Powell,Marvel Comics,good,Male,Human,185 cm,81 kg,Brown,Brown,Retired Superhero,https://www.superherodb.com/pictures2/portraits/10/100/53.jpg
203,Darkman,75,14,23,85,12,28,Peyton Westlake,Universal Studios,good,Male,null,0 cm,0 kg,-,-,Scientist,https://www.superherodb.com/pictures2/portraits/10/100/1126.jpg
204,Darkseid,88,100,83,100,100,95,Uxas,DC Comics,bad,Male,New God,267 cm,817 kg,Red,No Hair,Dictator of Apokolips,https://www.superherodb.com/pictures2/portraits/10/100/668.jpg
205,Darkside,null,null,null,null,null,null,,null,bad,-,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/840.jpg
206,Darkstar,38,8,35,42,79,64,Laynia Petrovna,Marvel Comics,good,Female,Mutant,168 cm,56 kg,Brown,Blond,Occupation unknown,https://www.superherodb.com/pictures2/portraits/10/100/169.jpg
207,Darth Maul,56,48,50,30,100,100,,George Lucas,bad,Male,Dathomirian Zabrak,170 cm,0 kg,Yellow / Red,-,-,https://www.superherodb.com/pictures2/portraits/10/100/10464.jpg
208,Darth Vader,69,48,33,35,100,100,Anakin Skywalker,George Lucas,bad,Male,Cyborg,198 cm,135 kg,Yellow,No Hair,"Sith Lord, Supreme Commander of the Imperial Fleet",https://www.superherodb.com/pictures2/portraits/10/100/10444.jpg
209,Dash,25,12,92,60,20,30,Dashiell Robert Parr,Dark Horse Comics,good,Male,Human,122 cm,27 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/824.jpg
210,Data,100,32,21,40,56,50,Data,Star Trek,good,Male,Android,0 cm,0 kg,Yellow,Brown,Lieutenant commander,https://www.superherodb.com/pictures2/portraits/10/100/10577.jpg
211,Dazzler,63,10,33,60,100,55,Alison Blaire,Marvel Comics,good,Female,Mutant,173 cm,52 kg,Blue,Blond,"Adventurer, singer, former actress, model, revolutionary",https://www.superherodb.com/pictures2/portraits/10/100/1043.jpg
212,Deadman,50,10,33,100,100,42,Boston Brand,DC Comics,good,Male,Human,183 cm,90 kg,Blue,Black,"Wandering Spirit, Former Circus Aerialist",https://www.superherodb.com/pictures2/portraits/10/100/1472.jpg
213,Deadpool,69,32,50,100,100,100,Wade Wilson,Evil Deadpool,neutral,Male,Mutant,188 cm,95 kg,Brown,No Hair,"Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others",https://www.superherodb.com/pictures2/portraits/10/100/835.jpg
214,Deadshot,50,10,23,28,55,80,Floyd Lawton,DC Comics,bad,Male,Human,185 cm,91 kg,Brown,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/670.jpg
215,Deathlok,69,32,30,70,40,60,Luther Manning,Marvel Comics,good,Male,Cyborg,193 cm,178 kg,Brown,Grey,-,https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg
216,Deathstroke,75,30,35,100,47,90,Slade Joseph Wilson,DC Comics,neutral,Male,Human,193 cm,101 kg,Blue,White,"Mercenary; Former Soldier, Big-Game Hunter",https://www.superherodb.com/pictures2/portraits/10/100/672.jpg
217,Demogoblin,50,48,42,35,67,60,,Marvel Comics,bad,Male,Demon,185 cm,95 kg,Red,No Hair,Demonic Redeemer,https://www.superherodb.com/pictures2/portraits/10/100/1515.jpg
218,Destroyer,50,95,58,98,85,70,,Marvel Comics,bad,Male,null,188 cm,383 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1294.jpg
219,Diamondback,44,16,23,28,45,60,Willis Stryker,Marvel Comics,bad,Male,Human,193 cm,90 kg,Brown,Black,Criminal,https://www.superherodb.com/pictures2/portraits/10/100/1404.jpg
220,DL Hawkins,50,12,12,56,48,56,Daniel Lawrence Hawkins,NBC - Heroes,good,Male,null,0 cm,0 kg,-,-,"Construction worker, Firefighter",https://www.superherodb.com/pictures2/portraits/10/100/943.jpg
221,Doc Samson,75,80,33,80,36,70,Leonard Samson,Marvel Comics,good,Male,Human / Radiation,198 cm,171 kg,Blue,Green,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",https://www.superherodb.com/pictures2/portraits/10/100/54.jpg
222,Doctor Doom,100,32,20,100,100,84,Victor von Doom,Marvel Comics,bad,Male,Human,201 cm,187 kg,Brown,Brown,Monarch,https://www.superherodb.com/pictures2/portraits/10/100/189.jpg
223,Doctor Doom II,null,null,null,null,null,null,Kristoff Vernard,Marvel Comics,bad,Male,null,201 cm,132 kg,Brown,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/1018.jpg
224,Doctor Fate,81,16,25,80,100,50,Kent Nelson,DC Comics,good,Male,Human,188 cm,89 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/676.jpg
225,Doctor Octopus,94,48,33,40,53,65,Otto Octavius,Marvel Comics,bad,Male,Human,175 cm,110 kg,Brown,Brown,"Former atomic-research consultant, criminal mastermind",https://www.superherodb.com/pictures2/portraits/10/100/622.jpg
226,Doctor Strange,100,10,12,84,100,60,Stephen Strange,Marvel Comics,good,Male,Human,188 cm,81 kg,Grey,Black,"Sorcerer Supreme, retired neurosurgeon",https://www.superherodb.com/pictures2/portraits/10/100/55.jpg
227,Domino,63,10,27,28,49,74,Neena Thurman,Marvel Comics,good,Female,Human,173 cm,54 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/902.jpg
228,Donatello,88,14,46,60,58,75,,IDW Publishing,good,Male,Mutant,0 cm,0 kg,Green,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/10330.jpg
229,Donna Troy,null,89,null,null,null,null,Donna Hinckley Stacey Troy,DC Comics,good,Female,Amazon,175 cm,63 kg,Blue,Black,-,https://www.superherodb.com/pictures2/portraits/10/100/806.jpg
230,Doomsday,75,100,67,100,100,90,Doomsday,DC Comics,bad,Male,Alien,244 cm,412 kg,Red,White,Destroyer,https://www.superherodb.com/pictures2/portraits/10/100/679.jpg
231,Doppelganger,8,63,60,95,69,84,,Marvel Comics,bad,Male,null,196 cm,104 kg,White,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/1320.jpg
232,Dormammu,88,95,83,100,100,80,Dormammu,Marvel Comics,bad,Male,null,185 cm,0 kg,Yellow,No Hair,"Despot, conqueror",https://www.superherodb.com/pictures2/portraits/10/100/1359.jpg
233,Dr Manhattan,88,100,42,100,100,42,Jonathan Osterman,DC Comics,good,Male,Human / Cosmic,0 cm,0 kg,White,No Hair,Scientist,https://www.superherodb.com/pictures2/portraits/10/100/884.jpg
234,Drax the Destroyer,56,80,25,85,46,65,Arthur Sampson Douglas,Marvel Comics,good,Male,Human / Altered,193 cm,306 kg,Red,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/10016.jpg
235,Ego,88,80,83,99,71,28,Ego,Marvel Comics,bad,-,null,0 cm,0 kg,-,-,Inapplicable,https://www.superherodb.com/pictures2/portraits/10/100/6.jpg
236,Elastigirl,63,32,33,95,52,70,Helen Parr,Dark Horse Comics,good,Female,Human,168 cm,56 kg,Brown,Brown,-,https://www.superherodb.com/pictures2/portraits/10/100/870.jpg
237,Electro,69,10,50,56,67,64,Maxwell Dillon,Marvel Comics,bad,Male,Human,180 cm,74 kg,Blue,Auburn,Professional criminal,https://www.superherodb.com/pictures2/portraits/10/100/7.jpg
238,Elektra,63,11,30,28,59,100,Elektra Natchios,Marvel Comics,good,Female,Human,175 cm,59 kg,Blue,Black,"Assassin, adventurer, mercenary, former student, dancer",https://www.superherodb.com/pictures2/portraits/10/100/625.jpg
239,Elle Bishop,50,8,12,42,63,42,,NBC - Heroes,bad,Female,null,0 cm,0 kg,Blue,Blond,Agent of the Company,https://www.superherodb.com/pictures2/portraits/10/100/1021.jpg
240,Elongated Man,75,10,33,90,44,40,Ralph Dibny,DC Comics,good,Male,null,185 cm,80 kg,Blue,Red,Detective,https://www.superherodb.com/pictures2/portraits/10/100/1381.jpg
241,Emma Frost,75,63,35,90,100,42,Emma Frost,Marvel Comics,good,Female,null,178 cm,65 kg,Blue,Blond,-,https://www.superherodb.com/pictures2/portraits/10/100/325.jpg
242,Enchantress,63,14,25,60,100,40,June Moone,DC Comics,good,Female,Human,168 cm,57 kg,Blue,Blond,Artist; Magician,https://www.superherodb.com/pictures2/portraits/10/100/687.jpg
243,Energy,null,null,null,null,null,null,,HarperCollins,good,Female,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1155.jpg
244,ERG-1,null,null,null,null,null,null,,DC Comics,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1187.jpg
245,Ethan Hunt,75,11,29,30,26,95,Ethan Hunt,null,good,Male,Human,168 cm,0 kg,Brown,Brown,"IMF Agent, Training Officer (former), Field Agent, Field Team Leader",https://www.superherodb.com/pictures2/portraits/10/100/10476.jpg
246,Etrigan,50,85,17,100,100,50,Jason Blood,DC Comics,neutral,Male,Demon,193 cm,203 kg,Red,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/10429.jpg
247,Evil Deadpool,69,32,50,100,100,100,Wade Wilson,Deadpool,bad,Male,Mutant,188 cm,95 kg,White,Red,"Mercenary, Assasin",https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg
248,Evilhawk,50,32,33,70,85,64,Dargin Bokk,Marvel Comics,bad,Male,Alien,191 cm,106 kg,Red,Black,Crimelord,https://www.superherodb.com/pictures2/portraits/10/100/1516.jpg
249,Exodus,63,81,28,28,100,70,Bennet du Paris,Marvel Comics,bad,Male,Mutant,183 cm,88 kg,Blue,Black,"Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader",https://www.superherodb.com/pictures2/portraits/10/100/1517.jpg
250,Fabian Cortez,null,null,null,null,null,null,Fabian Cortez,Marvel Comics,bad,-,null,196 cm,96 kg,Blue,Brown,Unknown,https://www.superherodb.com/pictures2/portraits/10/100/24.jpg
251,Falcon,38,13,50,28,22,64,Sam Wilson,Marvel Comics,good,Male,Human,188 cm,108 kg,Brown,Black,"Crimefighter, (former) freelance artist",https://www.superherodb.com/pictures2/portraits/10/100/56.jpg
252,Fallen One II,88,85,83,100,100,56,,Marvel Comics,bad,Male,null,0 cm,0 kg,Black,Blue,-,https://www.superherodb.com/pictures2/portraits/10/100/1051.jpg
253,Faora,88,95,75,100,98,90,Faora Hu-Ul,DC Comics,bad,Female,Kryptonian,0 cm,0 kg,-,-,Serial killer,https://www.superherodb.com/pictures2/portraits/10/100/1502.jpg
254,Feral,38,28,45,28,27,70,Maria Callasantos,Marvel Comics,good,-,null,175 cm,50 kg,Yellow (without irises),Orange / White,"Formerly Adventurer, Terrorist",https://www.superherodb.com/pictures2/portraits/10/100/57.jpg
255,Fighting Spirit,null,null,null,null,null,null,Carol Carter,DC Comics,good,Female,null,0 cm,0 kg,-,Red,-,https://www.superherodb.com/pictures2/portraits/10/100/1167.jpg
256,Fin Fang Foom,50,81,23,100,75,70,,Marvel Comics,good,Male,Kakarantharaian,975 cm,18 tons,Red,No Hair,-,https://www.superherodb.com/pictures2/portraits/10/100/1518.jpg
257,Firebird,38,8,40,14,100,42,Bonita Juarez,Marvel Comics,good,Female,null,165 cm,56 kg,Brown,Black,"Social worker, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/58.jpg
258,Firelord,38,63,75,90,52,28,Pyreus Kril,Marvel Comics,good,-,null,193 cm,99 kg,White,Yellow,"Former starship captain, former herald of Galactus",https://www.superherodb.com/pictures2/portraits/10/100/59.jpg
259,Firestar,50,8,54,55,71,32,Angelica Jones,Marvel Comics,good,Female,Mutant,173 cm,56 kg,Green,Red,Student,https://www.superherodb.com/pictures2/portraits/10/100/60.jpg
260,Firestorm,50,53,58,56,100,42,Jason Rusch,DC Comics,good,Male,null,0 cm,0 kg,Brown,Black,University student; former food server at Bryson's Family Treat; former mascot at Ho-Ho Charlie's Chicken Shack; former intern at S.T.A.R. Labs,https://www.superherodb.com/pictures2/portraits/10/100/689.jpg
261,Firestorm,38,80,58,80,100,40,Ronald Raymond,DC Comics,good,Male,Human,188 cm,91 kg,Blue,Auburn,Adventurer; former employee of Bun 'n Run,https://www.superherodb.com/pictures2/portraits/10/100/10395.jpg
262,Fixer,null,null,null,null,null,null,Paul Norbert Ebersol,Marvel Comics,bad,-,null,0 cm,0 kg,Red,No Hair,Criminal inventor,https://www.superherodb.com/pictures2/portraits/10/100/9.jpg
263,Flash,63,10,100,50,68,32,Jay Garrick,DC Comics,good,Male,Human,180 cm,81 kg,Blue,Brown / White,"Research Scientist, part-time Director of Garrick Laboratories",https://www.superherodb.com/pictures2/portraits/10/100/891.jpg
264,Flash Gordon,null,69,null,null,null,null,Steven Gordon,null,good,Male,null,0 cm,0 kg,-,-,-,https://www.superherodb.com/pictures2/portraits/10/100/1345.jpg
265,Flash II,88,48,100,60,100,60,Barry Allen,Black Racer,good,Male,Black Racer,183 cm,88 kg,Blue,Blond,Forensic Scientist,https://www.superherodb.com/pictures2/portraits/10/100/892.jpg
266,Flash III,63,10,100,60,100,32,Wally West,Speed Demon,good,Male,Human,183 cm,86 kg,-,-,"Adventurer, Mechanic for the KCPD",https://www.superherodb.com/pictures2/portraits/10/100/690.jpg
267,Flash IV,63,10,100,32,100,48,Bartholomew Allen II,Impulse,good,Male,Human,157 cm,52 kg,Yellow,Auburn,Police trainee,https://www.superherodb.com/pictures2/portraits/10/100/893.jpg
268,Forge,63,10,12,28,25,48,,Marvel Comics,good,-,null,183 cm,81 kg,Brown,Black,"Inventor working for the U.S. government, former soldier",https://www.superherodb.com/pictures2/portraits/10/100/62.jpg
269,Franklin Richards,63,80,50,60,100,50,Franklin  Richards,Marvel Comics,good,Male,Mutant,142 cm,45 kg,Blue,Blond,Student,https://www.superherodb.com/pictures2/portraits/10/100/63.jpg
270,Franklin Storm,38,10,1,1,0,10,Dr. Franklin Storm,Marvel Comics,good,-,null,188 cm,92 kg,Blue,Grey,Surgeon,https://www.superherodb.com/pictures2/portraits/10/100/170.jpg
271,Frenzy,63,53,35,100,38,52,Joanna Cargill,Marvel Comics,bad,Female,null,211 cm,104 kg,Brown,Black,Mercenary,https://www.superherodb.com/pictures2/portraits/10/100/1108.jpg
272,Frigga,null,null,null,null,null,null,Frigga,Marvel Comics,good,Female,null,180 cm,167 kg,Blue,White,"Queen of Asgard, goddess of marriage",https://www.superherodb.com/pictures2/portraits/10/100/172.jpg
